Breed,Number of Animals
ABERDEEN ANGUS,147047
ABERDEEN ANGUS X,516932
ANGLER ROTVIEH,38
ANGLER ROTVIEH X,38
ANKOLE,10
ARMORICAINE,5
ARMORICAINE X,7
AUBRAC,164
AUBRAC X,48
AUSTRALIAN LOWLINE,8
AYRSHIRE,58423
AYRSHIRE X,9429
BALTATA ROMANEASCA,4
BAZADAISE,1637
BAZADAISE X,6953
BEEF SHORTHORN,15881
BEEF SHORTHORN X,18544
BEEF X,27
BEEFALO,24
BELGIAN BLUE,45438
BELGIAN BLUE X,359111
BELTED GALLOWAY,10166
BELTED GALLOWAY X,2793
BELTED WELSH BLACK,169
BELTED WELSH BLACK X,42
BISON,412
BLACK POLL,1
BLACK POLL X,1
BLONDE D'AQU (RED),26
BLONDE D'AQU (RED) X,305
BLONDE D'AQU(BLACK),9
BLONDE D'AQU(BLACK)X,285
BLONDE D'AQU(WHITE),3
BLONDE D'AQU(WHITE)X,79
BLONDE D'AQUITAINE,23135
BLONDE D'AQUITAINE X,141116
BLUE ALBION,372
BLUE ALBION X,457
BLUE GREY,5588
BLUE GREY X,326
BRAHMAN,35
BRAHMAN X,58
BRETONNE PIE-NOIRE,15
BRETONNE PIE-NOIRE X,1
BRITISH BLUE,8528
BRITISH BLUE X,76257
BRITISH FRIESIAN,469644
BRITISH FRIESIAN X,75221
BRITISH HOLSTEIN,13489
BRITISH HOLSTEIN X,3155
BRITISH WHITE,5526
BRITISH WHITE X,1966
BROWN SWISS,7649
BROWN SWISS X,16786
CANADIAN ANGUS,18
CANADIAN ANGUS X,115
CHAROLAIS,99505
CHAROLAIS X,564074
CHIANINA,13
CHIANINA X,213
CHILLINGHAM,11
CHILLINGHAM X,9
CONTINENTAL,65
CROSS BREED BEEF,1225
CROSS BREED DAIRY,3154
DAIRY SHORTHORN,9795
DAIRY SHORTHORN X,4636
DANISH BLUE X,1
DANISH RED,729
DANISH RED X,1740
DEVON,25472
DEVON X,14746
DEXTER,26963
DEXTER X,1382
DUN GALLOWAY,83
DUN GALLOWAY X,20
DWARF ZEBU,11
EAST FINNISH BROWN X,1
ENGLISH PARK,11
ENGLISH PARK X,10
ESTONIAN RED,18
ESTONIAN RED CROSS,6
FLECKVIEH,170
FLECKVIEH CROSS,643
FRIESIAN,121348
FRIESIAN X,5681
FRISONA ESPAGNOLA,36
FRISONA ESPAGNOLA X,7
GALLOWAY,20369
GALLOWAY X,5343
GASCONNE,260
GASCONNE X,145
GAYAL,3
GELBVIEH,1317
GELBVIEH X,3450
GLOUCESTER,1687
GLOUCESTER X,425
GRONINGER BLAARKOP,17
GRONINGER BLAARKOP X,31
GUERNSEY,14340
GUERNSEY X,904
HECK,16
HECK CROSS,1
HEREFORD,63173
HEREFORD (BLACK),296
HEREFORD (BLACK) X,3255
HEREFORD (BROWN),8
HEREFORD (BROWN) X,5
HEREFORD (RED),363
HEREFORD (RED) X,1139
HEREFORD X,248890
HIGHLAND,36197
HIGHLAND X,3044
HOLSTEIN,305410
HOLSTEIN FRIESIAN,1958397
HOLSTEIN FRIESIAN X,128249
HOLSTEIN X,22316
IRISH MOILED,711
IRISH MOILED X,253
JERSEY,72940
JERSEY X,37968
KERRY,148
KERRY X,25
LIMOUSIN,260810
LIMOUSIN (BLACK),452
LIMOUSIN (BLACK) X,7115
LIMOUSIN (RED),1198
LIMOUSIN (RED) X,3729
LIMOUSIN X,1382696
LINCOLN RED,7375
LINCOLN RED X,3556
LONGHORN,14971
LONGHORN X,3634
LUING,14123
LUING X,3916
MAINE ANJOU,162
MAINE ANJOU X,936
MALKEKORTHORN X,2
MARCHIGIANA,50
MARCHIGIANA X,400
MEUSE RHINE ISSEL,11060
MEUSE RHINE ISSEL X,17342
MONTBELIARDE,9480
MONTBELIARDE X,29933
MURRAY GREY,1841
MURRAY GREY X,1413
NORMANDE,577
NORMANDE X,1040
NORTH DEVON,136
NORTH DEVON X,124
NORTHERN DAIRY SH,20
NORWEGIAN RED,358
NORWEGIAN RED X,5629
NOT SUPPLIED,11544
OLD ENGLISH,15
OLD ENGLISH X,28
OTHER BEEF,438
OTHER BREEDS,400
OTHER DAIRY,97
PARTHENAIS,411
PARTHENAIS X,2051
PIEMONTESE,799
PIEMONTESE X,3901
PINZGAUER,6
PINZGAUER X,25
RED & WHITE FRIESIAN,282
RED POLL,7670
RED POLL X,2128
REGGIANA,2
RIGGIT GALLOWAY,77
RIGGITGALLOWAY CROSS,25
ROMAGNOLA,115
ROMAGNOLA X,610
ROTEBUNDE,15
ROTEBUNDE X,183
SALERS,11868
SALERS X,45564
SHETLAND,2064
SHETLAND X,663
SHORTHORN,16211
SHORTHORN X,37569
SIMMENTAL,93605
SIMMENTAL X,506397
SOUTH DEVON,54481
SOUTH DEVON X,34560
SPECKLE PARK,12
SPECKLE PARK CROSS,3
STABILISER,6286
STABILISER X,21938
SUSSEX,13269
SUSSEX X,10166
SWEDISH RED,1075
SWEDISH RED & WHITE,2630
SWEDISH RED CROSS,7918
SWEDISH RED POLLED,19
SWEDISH RED&WHITE X,19178
SWISS BRAUNVIEH,64
SWISS BRAUNVIEH X,83
SWISS GREY,8
SWISS GREY X,6
SWISS ORIG BRAUNV X,17
SWISS ORIG BRAUNVIEH,20
TARANTAISE-TARINA,1
TARANTAISE-TARINA X,1
TYRONE BLACK,2
TYRONE BLACK X,31
VAYNOL,39
WAGYU,224
WAGYU CROSS,124
WATER BUFFALO,4114
WELSH BLACK,42539
WELSH BLACK X,13189
WELSH WHITE,164
WELSH WHITE X,87
WHITE GALLOWAY,949
WHITE GALLOWAY X,72
WHITE PARK,2954
WHITE PARK X,510
WHITEBRED S/HORN X,5913
WHITEBRED SHORTHORN,789
YAK,16
ZEBU,63
,277
,Total Population: 8629021
